BN,FPE,Form ID,Program #1 Code,Program #1 %,Program #1 Desc,Program #2 Code,Program #2 %,Program #2 Desc,Program #3 Code,Program #3 %,Program #3 Desc,1510,1510-BN,1510-Name,1570,1600,1800,2000,2100,2400,5030  ,5031,5032,2500,2510,2530,2540,2550,2560,2570,2575,2580,2590,2600,2610,2620,2630,2640,2650,2660,2700,5450,5460,2730,2740,2750,2760,2770,2780,2790,2800,3200,3400,3900,4000,5800,5810,5820,5830,5840,5841,5842,5843,5850,5860,5861,5862,5863,5864
881084032RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
887614865RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,,,,Y,,,,,Y,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
806786745RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
132104878RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
141096750RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
730087921RR0001,2023-02-02,25,,,,,,,,,,N,"","",N,N,Y,N,Y,,,,,,,,,,,,Y,Y,,,Y,,,Y,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
863312286RR0001,2023-02-27,25,,,,,,,,,,N,"","",Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
807806252RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
894797455RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,Y,,,,,,Y,,,Y,,,,,,,"",N,,,,,,,,,"",,N,Y,N,N,N,N,N,N,,,,,,,,,,
743036600RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,Y,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,Y,N,N,N,N,N,N,N,,,,,,,,,,
893558510RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
890143373RR0001,2023-03-20,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,,,Y,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
871872875RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,Y,,,,,,Y,Y,,,Y,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
724956479RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,Y,Y,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
818723546RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
140208380RR0001,2023-02-15,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,Y,Y,,,Y,"WORD MOUTH MEM.",N,,,,,,,,,"",,N,N,,N,N,N,N,N,,,,,,,,,,
119064095RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,Y,,,,Y,,,,,,,Y,"Charity Bingo",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
706098118RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,Y,Y,Y,N,,,,,,,,,,,,Y,,,Y,Y,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
888759248RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,,,,,,Y,Y,,,,,,,,,,"",N,,,,,,,,,"",,N,Y,N,N,N,N,N,N,,,,,,,,,,
119008233RR0001,2023-02-27,25,,,,,,,,,,N,"","",Y,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
887392793RR0001,2023-03-20,25,,,,,,,,,,Y,"887392793RR0001","THE NATIONAL SPIRITUAL ASSEMBLY OF THE BAHA'IS OF CANADA",N,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
863195178RR0001,2023-01-02,25,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,
822758736RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,Y,Y,N,N,,,,,,,,,,,Y,,,,,Y,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
891258592RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,Y,,,,Y,,,,,,,,,,"",N,,,,,,,,,"",,N,Y,N,N,N,N,N,N,,,,,,,,,,
119140283RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,Y,,,,,,Y,Y,Y,Y,Y,,,,,,"",N,,,,,,,,,"",,N,Y,N,Y,N,,N,N,,,,,,,,,,
850625088RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,Y,,,Y,Y,,,Y,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
839156544RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,Y,,Y,,,,Y,Y,,,,,,,Y,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
852823475RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
769781469RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
828380378RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,Y,,,,,,,,,,,,,Y,"Donations  Adoption fees ",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
887008704RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,Y,"Community Garage Sales",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
839763612RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
722850534RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,Y,,,,,,,,,,Y,Y,,,,,"",N,,,,,,,,,"",,N,Y,N,,N,N,N,N,,,,,,,,,,
858884307RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
814819553RR0001,2023-03-31,25,,,,,,,,,,N,"","",Y,N,Y,Y,N,,,,,,,,,,,,Y,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
119040483RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,Y,Y,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
119244713RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
118791003RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,Y,,Y,,,,,,Y,,Y,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
119052397RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
118809011RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,Y,,,Y,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
889496667RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,,,,N,N,N,N,N,,,,,,,,,,
