BN,Category,Sub Category,Designation,Legal Name,Account Name,Address Line 1,Address Line 2,City,Province,Postal Code,Country
848710299RR0001,0030,0099,C,"THE REDEEMED CHRISTIAN CHURCH OF GOD REGINA INC.","The Redeemed Christian Church of God Regina Inc.","1671 WINGERT DRIVE","","REGINA",SK,S4X4P3,CA
118831924RR0001,0200,0099,C,"CANADIAN FRIENDS OF JEWISH YOUTH LIBRARY","CANADIAN FRIENDS OF JEWISH YOUTH LIBRARY","497 OUTREMONT AVE","","MONTREAL",QC,H2V3M4,CA
874538812RR0001,0160,0015,A,"VANCOUVER BOARD OF TRADE FOUNDATION","VANCOUVER BOARD OF TRADE FOUNDATION","300-2083 ALMA ST","","VANCOUVER",BC,V6R4N6,CA
897875894RR0001,0011,0099,C,"ASSOCIATION OF PARENTS & PROFESSIONALS FOR LITERACY EDUCATIO","ASSOCIATION OF PARENTS AND PROFESSIONALS FOR LITERACY EDUCATION","BOX 2438","","VIRDEN",MB,R0M2C0,CA
869879999RR0001,0001,0099,C,"Maison des Jeunes de Saint-Esprit de Montcalm Inc.","MAISON DES JEUNES DE SAINT-ESPRIT DE MONTCALM INC","102 PLACE DES LOISIRS","","SAINT-ESPRIT",QC,J0K2L0,CA
863170395RR0001,0013,0003,C,"GROUPE SCOUT SAINT-JEAN-SUR-RICHELIEU (DISTRICT MONTEREGIE)","5EME GROUPE SCOUTS ST-JEAN-SUR-RICHELIEU INC","187 RUE BOURGET","","SAINT-JEAN-SUR-RICHELIEU",QC,J2W1H7,CA
867322331RR0001,0012,0003,C,"Danse Danse Inc.","DANSE DANSE INC.","200 - 2 RUE SAINTE-CATHERINE E","","MONTREAL",QC,H2X1K4,CA
125710665RR0001,0030,0099,C,"Saint Charbel Maronite Catholic Parish Ottawa","Saint Charbel Maronite Catholic Parish Ottawa","245 DONALD ST","","OTTAWA",ON,K1K1N1,CA
810333963RR0001,0060,0003,C,"CHINMAYA MISSION CALGARY CENTRE","Chinmaya Mission Calgary Centre","4823 5 AVE SW","","CALGARY",AB,T3C0C7,CA
791054000RR0001,0030,0099,C,"OPEN HEAVENS CHURCH","Open Heavens Church","617 MIDTOWN PL SW","","AIRDRIE",AB,T4B4E3,CA
859862260RR0001,0015,0001,A,"PRINCE ALBERT CATHOLIC EDUCATION FOUNDATION CORP","PRINCE ALBERT CATHOLIC EDUCATION FOUNDATION CORPORATION","118 11TH ST E","","PRINCE ALBERT",SK,S6V1A1,CA
